latitude,longitude,locality,region,country
48.6,10.72,Vorderried,Bavaria,Germany
47.38,8.18,Lenzburg,Aargau,Switzerland
50.93,6.96,Cologne,North Rhine-Westphalia,Germany
53.92,10.69,Bad Schwartau,Schleswig-Holstein,Germany
49.47,8.99,Eberbach,Baden-Württemberg,Germany
51.24,6.78,Dusseldorf,North Rhine-Westphalia,Germany
48.72,9.16,Stuttgart,Baden-Württemberg,Germany
51.41,7.68,Iserlohn,North Rhine-Westphalia,Germany
50.66,6.79,Euskirchen,North Rhine-Westphalia,Germany
50.1,8.69,Frankfurt,Hesse,Germany
50.17,8.66,Frankfurt,Hesse,Germany
48.18,11.48,Munich,Bavaria,Germany
49.24,7,Saarbrücken,Saarland,Germany
49.7,7.3,Idar-Oberstein,Rhineland-Palatinate,Germany
52.38,10.18,Edemissen,Lower Saxony,Germany
53.59,8.6,Bremerhaven,Bremen,Germany
51.08,12.17,Maßnitz,Saxony-Anhalt,Germany
53.1,8.86,Bremen,Bremen,Germany
53.62,9.68,Holm,Schleswig-Holstein,Germany
52.03,8.58,Bielefeld,North Rhine-Westphalia,Germany
52.13,8.64,Herford,North Rhine-Westphalia,Germany
48.81,9.2,Stuttgart,Baden-Württemberg,Germany
50.02,8.46,Raunheim,Hesse,Germany
48.03,11.6,Oberhaching,Bavaria,Germany
49.3,8.64,Walldorf,Baden-Württemberg,Germany
49.29,8.12,Edenkoben,Rhineland-Palatinate,Germany
49.47,8.66,Schriesheim,Baden-Württemberg,Germany
49.09,8.18,Kandel,Rhineland-Palatinate,Germany
54.16,12.06,Rostock,Mecklenburg-Vorpommern,Germany
52.35,7.15,Wengsel,Lower Saxony,Germany
47.9,7.76,Ehrenkirchen,Baden-Württemberg,Germany
48.05,16.08,Alland,Lower Austria,Austria
49.48,8.48,Mannheim,Baden-Württemberg,Germany
49.83,9.56,Marktheidenfeld,Bavaria,Germany
48.17,7.8,Malterdingen,Baden-Württemberg,Germany
52.92,9.25,Verden (Aller),Lower Saxony,Germany
52.29,7.45,Rheine,North Rhine-Westphalia,Germany
47.99,7.84,Freiburg im Breisgau,Baden-Württemberg,Germany
49.19,9.22,Neckarsulm,Baden-Württemberg,Germany
48.1,7.73,Eichstetten am Kaiserstuhl,Baden-Württemberg,Germany
49.18,8.08,Landau in der Pfalz,Rhineland-Palatinate,Germany
52.15,9.96,Hildesheim,Lower Saxony,Germany
48.84,9.15,Stuttgart,Baden-Württemberg,Germany
50.13,8.71,Frankfurt,Hesse,Germany
51.32,6.23,Leuth,North Rhine-Westphalia,Germany
52.61,13.24,Berlin,Berlin,Germany
52.32,9.8,Hanover,Lower Saxony,Germany
51.03,7.05,Leverkusen,North Rhine-Westphalia,Germany
47.98,7.9,Freiburg im Breisgau,Baden-Württemberg,Germany
50.3,7.62,Lahnstein,Rhineland-Palatinate,Germany
50.19,8.66,Frankfurt,Hesse,Germany
52.4,9.83,Hanover,Lower Saxony,Germany
50.71,7.05,Bonn,North Rhine-Westphalia,Germany
49.22,8.65,Bad Mingolsheim,Baden-Württemberg,Germany
48.87,9.04,Hemmingen,Baden-Württemberg,Germany
50.87,11.67,Laasdorf,Thuringia,Germany
48.25,12.53,Mühldorf a. Inn,Bavaria,Germany
60,-95,NA,Nunavut,Canada
47.65,7.83,Schopfheim,Baden-Württemberg,Germany
51.97,7.66,Münster,North Rhine-Westphalia,Germany
48.78,9.17,Stuttgart,Baden-Württemberg,Germany
49.15,9.22,Heilbronn,Baden-Württemberg,Germany
49.53,11.01,Nuremberg,Bavaria,Germany
49.02,12.06,Regensburg,Bavaria,Germany
47.87,11.3,Starnberger See,Bavaria,Germany
49.12,9.2,Heilbronn,Baden-Württemberg,Germany
48.33,8.88,Grosselfingen,Baden-Württemberg,Germany
49.44,11.1,Nuremberg,Bavaria,Germany
48.16,11.58,Munich,Bavaria,Germany
48.8,11.77,Neustadt an der Donau,Bavaria,Germany
51.09,13.8,Dresden,Saxony,Germany
53.69,10,Norderstedt,Schleswig-Holstein,Germany
22.32,114.16,Hong Kong,Hong Kong,China
49.32,8.39,Dudenhofen,Rhineland-Palatinate,Germany
48.15,11.46,Munich,Bavaria,Germany
51,6.58,Bedburg,North Rhine-Westphalia,Germany
52.12,20.73,Podkowa Leśna,Masovian Voivodeship,Poland
48.05,11.97,Grafing,Bavaria,Germany
52.41,7.98,Bramsche,Lower Saxony,Germany
52.25,8.1,Osnabrück,Lower Saxony,Germany
53.51,7.75,Wittmund,Lower Saxony,Germany
53.54,8.14,Wilhelmshaven,Lower Saxony,Germany
48.42,15.6,Krems an der Donau,Lower Austria,Austria
49.02,12.09,Regensburg,Bavaria,Germany
53.92,9.52,Itzehoe,Schleswig-Holstein,Germany
52.5,13.41,Berlin,Berlin,Germany
51.33,12.39,Leipzig,Saxony,Germany
50.12,7.31,Mörsdorf,Rhineland-Palatinate,Germany
